data10, data20, data30, data40, data50, data60, data70, data80, data90, data100
11.059, 11.373, 21.244, 25.452, 51.859, 113.257, 199.919, 46.306, 38.112, 269.241
5.611, 5.101, 21.175, 17.516, 52.056, 113.263, 199.953, 46.318, 38.100, 269.247
18.073, 10.133, 21.168, 17.521, 52.055, 113.258, 199.980, 46.318, 35.915, 269.250
19.296, 10.184, 21.115, 42.329, 53.252, 113.255, 200.122, 46.284, 35.393, 267.467
27.356, 11.483, 62.110, 42.395, 53.203, 113.242, 199.822, 46.255, 51.863, 267.439
27.374, 11.316, 62.187, 42.390, 53.164, 113.254, 199.830, 46.204, 51.860, 267.413
27.360, 17.281, 62.182, 42.391, 53.163, 113.245, 199.886, 22.887, 51.828, 267.393
17.678, 17.311, 62.118, 42.369, 53.183, 113.173, 199.895, 23.004, 51.824, 267.448
17.706, 17.245, 61.065, 42.389, 53.319, 113.088, 199.891, 22.845, 51.814, 267.425
9.012, 5.042, 61.022, 42.396, 12.054, 113.329, 199.901, 22.720, 51.821, 267.390
18.552, 5.245, 60.992, 40.488, 34.583, 113.283, 199.909, 15.270, 51.833, 115.061
18.671, 18.242, 60.985, 5.083, 34.632, 113.259, 199.981, 16.143, 51.821, 115.176
11.078, 18.356, 60.978, 12.548, 34.616, 113.237, 199.960, 54.350, 51.899, 115.181
10.955, 18.602, 60.953, 12.273, 34.615, 113.228, 199.962, 54.373, 56.283, 115.159
10.269, 28.724, 60.950, 15.734, 34.636, 113.226, 199.960, 54.343, 56.190, 112.228
10.226, 31.012, 60.934, 15.766, 34.614, 113.045, 199.956, 54.354, 56.088, 112.121
8.730, 31.057, 10.045, 15.728, 34.589, 113.012, 199.901, 54.364, 56.100, 112.098
12.883, 31.020, 10.059, 12.191, 9.636, 113.027, 199.897, 54.336, 56.129, 112.084
12.905, 30.967, 6.894, 12.184, 9.630, 113.087, 199.901, 54.117, 56.125, 112.072
5.214, 8.364, 6.334, 6.691, 29.541, 113.096, 199.899, 54.119, 56.139, 112.269
5.346, 5.757, 15.774, 36.013, 25.307, 240.976, 199.906, 54.109, 56.175, 112.264
5.427, 6.188, 15.813, 35.933, 25.238, 241.096, 199.913, 54.116, 56.155, 112.231
10.497, 10.133, 15.853, 35.878, 24.986, 241.046, 199.920, 66.671, 34.144, 112.248
10.473, 10.910, 12.418, 35.972, 41.601, 241.018, 199.976, 66.653, 34.110, 112.234
14.848, 5.404, 12.394, 35.898, 41.638, 241.022, 188.270, 66.641, 34.092, 112.228
14.873, 5.604, 5.306, 35.915, 41.660, 241.009, 188.415, 66.014, 249.895, 112.231
14.864, 5.604, 5.412, 35.881, 41.662, 240.996, 188.431, 65.950, 249.028, 112.217
5.454, 5.301, 5.050, 8.259, 41.625, 240.979, 188.445, 65.933, 249.036, 111.985
6.143, 5.090, 57.545, 7.354, 41.593, 240.943, 188.722, 65.909, 249.013, 111.972
5.164, 11.372, 57.577, 4.841, 41.487, 241.193, 188.879, 65.875, 249.005, 111.949
4.767, 11.817, 57.575, 6.114, 41.465, 241.183, 188.969, 65.862, 249.006, 111.921
14.886, 10.356, 57.603, 5.303, 108.863, 241.174, 189.003, 65.855, 249.003, 111.880
14.959, 9.141, 57.693, 6.269, 108.893, 241.205, 189.038, 65.851, 249.000, 17.937
14.851, 19.467, 57.705, 11.504, 108.834, 241.035, 189.199, 65.837, 249.009, 16.778
7.472, 19.342, 57.761, 11.543, 108.781, 241.031, 189.350, 5.490, 248.962, 50.472
20.524, 47.701, 57.810, 6.184, 108.786, 241.038, 189.603, 22.958, 248.962, 50.424
20.584, 47.710, 57.821, 9.801, 108.682, 241.041, 188.780, 22.964, 248.971, 50.423
20.610, 47.668, 57.820, 9.821, 108.639, 241.048, 188.766, 22.950, 248.961, 50.514
20.580, 47.679, 57.826, 5.924, 108.576, 241.034, 188.800, 22.897, 248.976, 50.528
5.140, 47.678, 35.218, 5.527, 108.557, 241.027, 188.802, 24.541, 248.942, 50.531
5.813, 47.714, 35.225, 16.574, 108.430, 241.037, 188.748, 24.523, 248.931, 50.521
5.600, 47.774, 35.201, 16.766, 108.195, 241.027, 188.784, 24.520, 248.926, 50.527
10.786, 47.769, 35.214, 16.741, 105.293, 241.012, 188.751, 22.411, 248.913, 50.506
